Nombre,País,Pies,GLA,MLA,SLA,GLO,MLO,SLO
Nevado Ojos del Salado, Argentina Chile,22 608,27Â,6,35,68,32,29
Monte Pissis, Argentina,22 293,27Â,45,16.6,68,47,55.8
Cerro Bonete Chico, Argentina,22 175,27Â,52,0,68,49,0
Nevado Tres Cruces Sur, Argentina Chile,22 139,27Â,5,53,68,46,41
Volcán Llullaillaco, Argentina Chile,22 109,24Â,43,47,68,32,45
Volcán Walther Penck, Argentina,21 843,27Â,12,0,68,33,0
Volcán Incahuasi, Argentina Chile,21 778,27Â,2,0,68,18,0
Nevado Tres Cruces Central, Argentina Chile,21 749,27Â,4,7,68,47,11
Volcán Tupungato, Argentina Chile,21 555,33Â,21,21,69,46,10.2
Nevado Sajama, Bolivia,21 463,18Â,6,14,68,52,53
Volcán Ata, Argentina Chile,21 328,27Â,10,55,68,34,34
